id,isResult,side,h,a,goals,xG,datetime,forecast,result,date,team,is_home,opponent,home_title,away_title,h_goals,a_goals,xG_num,xGA_num,rolling_xg,rolling_xga,rest_days,is_derby,euro_travel
21972,True,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.29356', 'a': '1.02509'}",2023-10-07 14:00:00+00:00,"{'w': 0.4263291034410673, 'd': 0.2790826602140689, 'l': 0.2945882363336014}",l,2023-10-07 14:00:00+00:00,Brentford,False,Manchester_United,Manchester United,Brentford,2,1,1.02509,1.29356,1.6126516000000002,1.6440473999999998,6,False,False
21977,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': '3', 'a': '0'}","{'h': '3.15685', 'a': '0.693129'}",2023-10-21 14:00:00+00:00,"{'w': 0.8492260593827922, 'd': 0.10043313877786611, 'l': 0.05033955646376967}",w,2023-10-21 14:00:00+00:00,Brentford,True,Burnley,Brentford,Burnley,3,0,3.15685,0.693129,1.6296516,1.3606471999999998,14,False,False
21989,True,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '0', 'a': '2'}","{'h': '1.71801', 'a': '2.48137'}",2023-10-28 11:30:00+00:00,"{'w': 0.26376552402102527, 'd': 0.1896946478994755, 'l': 0.5465397646732137}",w,2023-10-28 11:30:00+00:00,Brentford,False,Chelsea,Chelsea,Brentford,0,2,2.48137,1.71801,1.99919,1.4039971999999998,6,False,False
21995,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': '3', 'a': '2'}","{'h': '1.82944', 'a': '1.75505'}",2023-11-04 15:00:00+00:00,"{'w': 0.4052249615392112, 'd': 0.21972806879485854, 'l': 0.3750469677894359}",w,2023-11-04 15:00:00+00:00,Brentford,True,West_Ham,Brentford,West Ham,3,2,1.82944,1.75505,2.050274,1.2520132,7,False,False
22011,True,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '3', 'a': '0'}","{'h': '1.56004', 'a': '1.44954'}",2023-11-12 14:00:00+00:00,"{'w': 0.4031739849121273, 'd': 0.2421605661266496, 'l': 0.3546654487691589}",l,2023-11-12 14:00:00+00:00,Brentford,False,Liverpool,Liverpool,Brentford,3,0,1.44954,1.56004,1.9884580000000003,1.4039578,7,False,False
22015,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'h': '0', 'a': '1'}","{'h': '1.66315', 'a': '1.82699'}",2023-11-25 17:30:00+00:00,"{'w': 0.3551687890407156, 'd': 0.2224318437137768, 'l': 0.4223993657420522}",l,2023-11-25 17:30:00+00:00,Brentford,True,Arsenal,Brentford,Arsenal,0,1,1.66315,1.82699,2.11607,1.5106437999999998,13,False,False
22027,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '256', 'title': 'Luton', 'short_title': 'LUT'}","{'h': '3', 'a': '1'}","{'h': '3.25952', 'a': '0.227176'}",2023-12-02 15:00:00+00:00,"{'w': 0.9312364133528328, 'd': 0.05781846164530879, 'l': 0.010943294478033284}",w,2023-12-02 15:00:00+00:00,Brentford,True,Luton,Brentford,Luton,3,1,3.25952,0.227176,2.1366039999999997,1.4174531999999997,6,False,False
22036,True,a,"{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '2', 'a': '1'}","{'h': '1.54099', 'a': '1.22007'}",2023-12-06 19:30:00+00:00,"{'w': 0.4473592729024338, 'd': 0.25111879646785934, 'l': 0.3015219305060423}",l,2023-12-06 19:30:00+00:00,Brentford,False,Brighton,Brighton,Brentford,2,1,1.22007,1.54099,1.884344,1.3820491999999998,4,False,False
22052,True,a,"{'id': '238', 'title': 'Sheffield United', 'short_title': 'SHE'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': '1', 'a': '0'}","{'h': '0.841976', 'a': '0.644638'}",2023-12-09 15:00:00+00:00,"{'w': 0.3746482194127845, 'd': 0.3665715933302061, 'l': 0.2587801872569828}",l,2023-12-09 15:00:00+00:00,Brentford,False,Sheffield_United,Sheffield United,Brentford,1,0,0.644638,0.841976,1.6473836,1.1994344,2,False,False
22057,True,h,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': '1', 'a': '2'}","{'h': '0.796812', 'a': '1.4664'}",2023-12-17 14:00:00+00:00,"{'w': 0.20385441806490004, 'd': 0.26601694622425376, 'l': 0.5301286356503095}",l,2023-12-17 14:00:00+00:00,Brentford,True,Aston_Villa,Brentford,Aston Villa,1,2,0.796812,1.4664,1.5168380000000001,1.1807063999999996,7,False,False
